дата,Тема уроку
2021-09-05,Інструктаж з БЖ. Повторення. 
2021-09-07,Тепловий стан тіл. Температура та її вимірювання. Залежність розмірів фізичних тіл від температури. 
2021-09-12,Внутрішня енергія. 
2021-09-14,Способи зміни внутрішньої енергії. Теплопровідність. 
2021-09-19,Конвекція. 
2021-09-21,Теплове випромінювання. Кількість теплоти. Питома теплоємність речовини. Розрахунок кількості теплоти під час нагрівання або охолодження. 
2021-09-26,Розв’язування задач. 
2021-09-28,Розв’язування задач. Тепловий баланс. 
2021-10-03,Розв’язування задач. 
2021-10-05,Температурні діаграми. Розв’язування задач. 
2021-10-10,Інструктаж з БЖ. Лабораторна робота № 1. «Вивчення теплового балансу за умов змішування води різної температури». 
2021-10-12,Розв’язування задач. Розв’язування задач. 
2021-10-17,Інструктаж з БЖ. Лабораторна робота № 2. «Визначення питомої теплоємності речовини». 
2021-10-19,Розв’язування задач. Контрольна робота. 
2021-10-31,Агрегатний стан речовини. Наноматеріали. 
2021-11-02,Плавлення та кристалізація. Питома теплота плавлення. 
2021-11-07,Розв’язування задач. 
2021-11-09,Випаровування та конденсація. Швидкість випаровування. Кипіння. Питома теплота пароутворення. 
2021-11-14,Розв’язування задач. 
2021-11-16,Згорання палива. Питома теплота згорання палива. ККД нагрівника. Розв’язування задач. 
2021-11-21,Перетворення механічної енергії в теплову. 
2021-11-23,Розв’язування задач. Розв’язування задач. 
2021-11-28,Контрольна робота. 
2021-11-30,Принцип дії теплових двигунів. ККД теплового двигуна. Деякі види теплових двигунів. 
2021-12-05,ККД реальної та ідеальної теплової машини. 
2021-12-07,Розв’язування задач. Із історії винайдення теплових машин. 
2021-12-12,Контрольна робота. 
2021-12-14,Теплові двигуни. Види теплових двигунів. Двигун внутрішнього згорання. Дизельний двигун. 
2021-12-19,Парова та газова турбіна. Узагальнення і систематизація знань з теми. 
2021-12-21,Узагальнення знань з розділу «Теплові явища» Робота над проєктами 
2022-01-16,Електричний заряд та електромагнітна взаємодія. 
2022-01-18,Електричне поле. Механізм електризації. Електроскоп. 
2022-01-23,Закон Кулона. 
2022-01-25,Закон Кулона. Розв’язування задач. 
2022-01-30,Розв’язування задач. 
2022-02-01,Узагальнення і систематизація знань з теми. Контрольна робота. 
2022-02-06,Електричний струм. Електрична провідність матеріалів. 
2022-02-08,"Дії електричного струму.(Теплова, хімічна, магнітна). Джерела електричного струму. "
2022-02-13,Електричне коло та його елементи. 
2022-02-15,Сила струму. Одиниця сили струму. Амперметр. Вимірювання сили струму. Електрична напруга. Одиниця напруги. Вольтметр. Вимірювання напруги. 
2022-02-20,Електричний опір. Закон Ома для однорідної ділянки електричного кола. 
2022-02-22,Розв’язування задач. Розрахунок опору металевого провідника. Питомий опір речовини. Реостати. 
2022-02-27,Розв’язування задач. 
2022-03-01,Інструктаж з БЖ. Лабораторна робота № 3. «Вимірювання опору провідника за допомогою амперметра і вольтметра». Послідовне з’єднання провідників. 
2022-03-06,Розв’язування задач. 
2022-03-08,Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 4. «Дослідження електричного кола з послідовним з’єднанням провідників». 
2022-03-13,Паралельне з’єднання провідників. 
2022-03-15,Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 5. «Дослідження електричного кола з паралельним з’єднанням провідників». 
2022-03-27,Методи розрахунку розгалужених електричних кіл. 
2022-03-29,Розв’язування задач. Розв’язування задач. 
2022-04-03,Розширення меж вимірювання електровимірювальних приладів: шунт та додатковий опір. 
2022-04-05,Робота і потужність електричного струму. Розв’язування задач. 
2022-04-10,Теплова дія струму. Закон Джоуля-Ленца. 
2022-04-12,Електричні нагрівальні пристрої. Запобіжники. 
2022-04-17,Розв’язування задач. 
2022-04-19,Контрольна робота. Енергозберігаючі технології в електротехніці та перспективи розвитку. 
2022-04-24,Узагальнення і систематизація знань з теми. 
2022-04-26,Електричний струм в металах Залежність опору металевих провідників від температури. 
2022-05-01,Електричний струм в електролітах. Закони Фарадея. 
2022-05-03,Розв’язування задач. Застосування електролізу. 
2022-05-08,Розв’язування задач. 
2022-05-10,Електричний струм в газах. Види самостійних газових розрядів. 
2022-05-15,Електричний струм у напівпровідниках. 
2022-05-17,Напівпровідникові прилади та їх застосування в техніці. Розв’язування задач. 
2022-05-22,Контрольна робота 
2022-05-24,Узагальнення і систематизація знань з теми. Проєктна робота 
2022-05-29,Проєктна робота 
2022-05-31,Проєктна робота Проєктна робота 
